PSize;VType;H;Kv;Conn
DN15;Ball_LongPatternRF;165;10000;600lb
DN20;Ball_LongPatternRF;190;10000;600lb
DN25;Ball_LongPatternRF;216;10000;600lb
DN32;Ball_LongPatternRF;229;10000;600lb
DN40;Ball_LongPatternRF;241;10000;600lb
DN50;Ball_LongPatternRF;292;10000;600lb
DN65;Ball_LongPatternRF;330;10000;600lb
DN80;Ball_LongPatternRF;356;10000;600lb
DN100;Ball_LongPatternRF;432;10000;600lb
DN150;Ball_LongPatternRF;559;10000;600lb
DN200;Ball_LongPatternRF;660;10000;600lb
DN250;Ball_LongPatternRF;787;10000;600lb
DN300;Ball_LongPatternRF;838;10000;600lb
DN350;Ball_LongPatternRF;889;10000;600lb
DN400;Ball_LongPatternRF;991;10000;600lb
DN450;Ball_LongPatternRF;1092;10000;600lb
DN500;Ball_LongPatternRF;1194;10000;600lb
DN550;Ball_LongPatternRF;1295;10000;600lb
DN600;Ball_LongPatternRF;1397;10000;600lb
