PSize;OD;thk
DN100;114.3;11.13
DN125;141.3;12.7
DN150;168.27;14.27
DN200;219.07;18.26
DN250;273.05;21.44
DN300;323.85;25.4
DN350;355.6;27.79
DN400;406.4;30.96
DN450;457.2;34.92
DN500;508;38.1
DN550;558.8;41.28
DN600;609.6;46.02
