PSize;IRID;SEID;SEOD;CROD;SEthk;Rthk
DN15;14.2;19.1;31.8;69.9;4.5;3.2
DN20;20.6;25.4;39.6;76.2;4.5;3.2
DN25;26.9;31.8;47.8;85.9;4.5;3.2
DN32;33.3;39.6;60.5;104.9;4.5;3.2
DN40;41.4;47.8;69.9;117.6;4.5;3.2
DN50;52.3;58.7;85.9;146.1;4.5;3.2
DN65;63.5;69.9;98.6;168.4;4.5;3.2
DN80;78.7;92.2;120.7;196.9;4.5;3.2
DN100;97.8;117.6;149.4;235;4.5;3.2
DN125;124.5;143;177.8;279.4;4.5;3.2
DN150;147.3;171.5;209.6;317.5;4.5;3.2
DN200;196.9;215.9;257.3;387.4;4.5;3.2
DN250;246.1;270;311.2;476.3;4.5;3.2
DN300;292.1;317.5;368.3;549.4;4.5;3.2
