PSize;IRID;SEID;SEOD;CROD;SEthk;Rthk
DN100;102.6;120.7;149.4;177.8;4.5;3.2
DN125;128.3;147.6;177.8;212.9;4.5;3.2
DN150;154.9;174.8;209.6;247.7;4.5;3.2
DN200;205.7;225.6;263.7;304.8;4.5;3.2
DN250;255.3;274.6;317.5;358.9;4.5;3.2
DN300;307.3;327.2;374.7;419.1;4.5;3.2
DN350;342.9;362;406.4;482.6;4.5;3.2
DN400;389.9;412.8;463.6;536.7;4.5;3.2
DN450;438.2;469.9;527.1;593.9;4.5;3.2
DN500;489;520.7;577.9;647.7;4.5;3.2
DN600;590.6;628.7;685.8;768.4;4.5;3.2
