PSize;OD;thk
DN200;219.07;15.09
DN250;273.05;18.26
DN300;323.85;21.44
DN350;355.6;23.83
DN400;406.4;26.19
DN450;457.2;29.36
DN500;508;32.54
DN550;558.8;34.92
DN600;609.6;38.89
