PSize;OD;thk;BendAngle;BendRadius
DN15;21.34;7.47;90;38
DN20;26.67;7.82;90;38
DN25;33.4;9.09;90;38
DN32;42.16;9.7;90;48
DN40;48.26;10.16;90;57
DN50;60.32;11.07;90;76
DN65;73.02;14.02;90;95
DN80;88.9;15.24;90;114
DN90;101.6;;90;133
DN100;114.3;17.12;90;152
DN125;141.3;19.05;90;190
DN150;168.27;21.95;90;229
DN200;219.07;22.22;90;305
DN250;273.05;25.4;90;381
DN300;323.85;25.4;90;457
DN350;355.6;;90;533
DN400;406.4;;90;610
DN450;457.2;;90;686
DN500;508;;90;762
DN550;558.8;;90;838
DN600;609.6;;90;914
