PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Gate_RF;368;0;1500lb;695;350
DN65;Gate_RF;419;0;1500lb;705;400
DN80;Gate_RF;470;0;1500lb;770;400
DN100;Gate_RF;546;0;1500lb;872;500
DN150;Gate_RF;705;0;1500lb;1092;600
DN200;Gate_RF;832;0;1500lb;1400;610
DN250;Gate_RF;991;0;1500lb;1600;610
DN300;Gate_RF;1130;0;1500lb;1840;610
