PSize;FlangeType;D;d;t;T1;ODp;f;n;df;drf;trf;kg
DN15;SO;120.65;22.35;22.35;31.75;38.10;22.35;4;82.55;35.05;6.40;1.75
DN20;SO;130.05;27.69;25.40;35.05;44.45;22.35;4;88.90;42.93;6.40;2.33
DN25;SO;149.35;34.54;28.45;41.15;52.32;25.40;4;101.60;50.80;6.40;3.43
DN32;SO;158.75;43.18;28.45;41.15;63.50;25.40;4;111.25;63.50;6.40;3.90
DN40;SO;177.80;49.53;31.75;44.45;69.85;28.45;4;123.95;73.15;6.40;5.38
DN50;SO;215.90;61.98;38.10;57.15;104.65;25.40;8;165.10;91.95;6.40;9.85
DN65;SO;244.35;74.68;41.15;63.50;123.95;28.45;8;190.50;104.65;6.40;13.65
DN80;SO;241.30;90.68;38.10;53.85;127.00;25.40;8;190.50;127.00;6.40;11.61
DN100;SO;292.10;116.08;44.45;69.85;158.75;31.75;8;234.95;157.23;6.40;19.76
DN125;SO;349.25;143.76;50.80;79.25;190.50;35.05;8;279.40;185.67;6.40;31.93
DN150;SO;381.00;170.69;55.63;85.85;234.95;31.75;8;317.50;215.90;6.40;41.19
DN200;SO;469.90;221.49;63.50;101.60;298.45;38.10;12;393.70;269.75;6.40;70.75
DN250;SO;546.10;276.35;69.85;107.95;368.30;38.10;16;469.90;323.85;6.40;100.58
DN300;SO;609.60;327.15;79.25;117.35;419.10;38.10;20;533.40;381.00;6.40;132.70
DN350;SO;641.35;359.16;85.85;130.05;450.85;41.15;20;558.80;412.75;6.40;153.37
DN400;SO;704.85;410.46;88.90;133.35;508.00;44.45;20;615.95;469.90;6.40;184.90
DN450;SO;787.40;461.77;101.60;152.40;565.15;50.80;20;685.80;533.40;6.40;258.51
DN500;SO;857.25;513.08;107.95;158.75;622.30;53.85;20;749.30;584.20;6.40;317.19
DN600;SO;1041.40;615.95;139.70;203.20;749.30;66.55;20;901.70;692.15;6.40;606.21
