PSize;VType;H;Kv;Conn
DN50;Ball_LongPatternRF;368;10000;1500lb
DN65;Ball_LongPatternRF;419;10000;1500lb
DN80;Ball_LongPatternRF;470;10000;1500lb
DN100;Ball_LongPatternRF;546;10000;1500lb
DN150;Ball_LongPatternRF;705;10000;1500lb
DN200;Ball_LongPatternRF;832;10000;1500lb
DN250;Ball_LongPatternRF;991;10000;1500lb
DN300;Ball_LongPatternRF;1130;10000;1500lb
DN350;Ball_LongPatternRF;1257;10000;1500lb
DN400;Ball_LongPatternRF;1384;10000;1500lb
