PSize;OD;thk;BendAngle;BendRadius
PVC-16;16.13;1.21;90;114
PVC-20;21.34;1.36;90;127
PVC-25;26.67;1.65;90;152
PVC-40;41.28;2.10;90;178
PVC-45;52.40;2.30;90;203
