PSize;VType;H;Kv;Conn
DN50;Ball_LongPatternRF;451;10000;2500lb
DN65;Ball_LongPatternRF;508;10000;2500lb
DN80;Ball_LongPatternRF;578;10000;2500lb
DN100;Ball_LongPatternRF;673;10000;2500lb
DN150;Ball_LongPatternRF;914;10000;2500lb
DN200;Ball_LongPatternRF;1022;10000;2500lb
DN250;Ball_LongPatternRF;1270;10000;2500lb
DN300;Ball_LongPatternRF;1422;10000;2500lb
