PSize;dBolt;dNut;tNut;df;n;lBolt
DN15;12.7;25.654;12.8016;60.45;4;54.7632
DN20;12.7;25.654;12.8016;69.85;4;57.8032
DN25;12.7;25.654;12.8016;79.25;4;60.8432
DN32;12.7;25.654;12.8016;88.9;4;63.9032
DN40;12.7;25.654;12.8016;98.55;4;67.4632
DN50;15.875;31.1658;16.0274;120.65;4;76.9548
DN65;15.875;31.1658;16.0274;139.7;4;83.5548
DN80;15.875;31.1658;16.0274;152.4;4;86.6148
DN90;15.875;31.1658;16.0274;177.8;8;86.6148
DN100;15.875;31.1658;16.0274;190.5;8;86.6148
DN125;19.05;36.6522;19.2532;215.9;8;93.0664
DN150;19.05;36.6522;19.2532;241.3;8;96.1064
DN200;19.05;36.6522;19.2532;298.45;8;102.2064
DN250;22.225;42.164;22.479;361.95;12;112.218
DN300;22.225;42.164;22.479;431.8;12;115.258
DN350;25.4;47.6504;25.7048;476.25;12;128.3096
DN400;25.4;47.6504;25.7048;539.75;16;131.3696
DN450;28.575;53.1622;28.9306;577.85;16;143.9012
DN500;28.575;53.1622;28.9306;635;20;150.5212
DN600;28.575;53.1622;28.9306;749.3;20;160.1612
