PSize;OD;thk
DN6;10.29;1.24
DN8;13.72;1.65
DN10;17.14;1.65
DN15;21.34;2.11
DN20;26.67;2.11
DN25;33.4;2.77
DN32;42.16;2.77
DN40;48.26;2.77
DN50;60.32;2.77
DN65;73.02;3.05
DN80;88.9;3.05
DN90;101.6;3.05
DN100;114.3;3.05
DN125;141.3;3.4
DN150;168.27;3.4
DN200;219.07;3.76
DN250;273.05;4.19
DN300;323.85;4.57
DN350;355.6;6.35
DN400;406.4;6.35
DN450;457.2;6.35
DN500;508;6.35
DN600;609.6;6.35
