PSize;IRID;SEID;SEOD;CROD;SEthk;Rthk
DN80;78.7;95.3;120.7;168.4;4.5;3.2
DN100;102.6;120.7;149.4;206.5;4.5;3.2
DN125;128.3;147.6;177.8;247.7;4.5;3.2
DN150;154.9;174.8;209.6;289.1;4.5;3.2
DN200;196.9;222.3;257.3;358.9;4.5;3.2
DN250;246.1;276.4;311.2;435.1;4.5;3.2
DN300;292.1;323.9;368.3;498.6;4.5;3.2
DN350;320.8;355.6;400.1;520.7;4.5;3.2
DN400;374.7;412.8;457.2;574.8;4.5;3.2
DN450;425.5;463.6;520.7;638.3;4.5;3.2
DN500;482.6;520.7;571.5;698.5;4.5;3.2
DN600;590.6;628.7;679.5;838.2;4.5;3.2
