PSize;IRID;SEID;SEOD;CROD;SEthk;Rthk
DN15;14.2;19.1;31.8;54.1;4.5;3.2
DN20;20.6;25.4;39.6;66.8;4.5;3.2
DN25;26.9;31.8;47.8;73.2;4.5;3.2
DN32;38.1;47.8;60.5;82.6;4.5;3.2
DN40;44.5;54.1;69.9;95.3;4.5;3.2
DN50;55.6;69.9;85.9;111.3;4.5;3.2
DN65;66.5;82.6;98.6;130.3;4.5;3.2
DN80;81;101.6;120.7;149.4;4.5;3.2
DN100;102.6;120.7;149.4;193.8;4.5;3.2
DN125;128.3;147.6;177.8;241.3;4.5;3.2
DN150;154.9;174.8;209.6;266.7;4.5;3.2
DN200;205.7;225.6;263.7;320.8;4.5;3.2
DN250;255.3;274.6;317.5;400.1;4.5;3.2
DN300;307.3;327.2;374.7;457.2;4.5;3.2
DN350;342.9;362;406.4;492.3;4.5;3.2
DN400;389.9;412.8;463.6;565.2;4.5;3.2
DN450;438.2;469.9;527.1;612.9;4.5;3.2
DN500;489;520.7;577.9;682.8;4.5;3.2
DN600;590.6;628.7;685.8;790.7;4.5;3.2
