PSize;OD;thk;BendAngle;BendRadius
DN15;21.34;7.47;90;
DN20;26.67;7.82;90;
DN25;33.4;9.09;90;25
DN32;42.16;9.7;90;32
DN40;48.26;10.16;90;38
DN50;60.32;11.07;90;51
DN65;73.02;14.02;90;64
DN80;88.9;15.24;90;76
DN90;101.6;;90;89
DN100;114.3;17.12;90;102
DN125;141.3;19.05;90;127
DN150;168.27;21.95;90;152
DN200;219.07;22.22;90;203
DN250;273.05;25.4;90;254
DN300;323.85;25.4;90;305
DN350;355.6;;90;356
DN400;406.4;;90;406
DN450;457.2;;90;457
DN500;508;;90;508
DN550;558.8;;90;559
DN600;609.6;;90;610
