PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Gate_RF;216;0;300lb;430;200
DN65;Gate_RF;241;0;300lb;505;250
DN80;Gate_RF;283;0;300lb;530;250
DN100;Gate_RF;305;0;300lb;630;250
DN150;Gate_RF;403;0;300lb;800;350
DN200;Gate_RF;419;0;300lb;1008;400
DN250;Gate_RF;457;0;300lb;1240;450
DN300;Gate_RF;502;0;300lb;1470;500
