PSize;VType;H;Kv;Conn
DN15;Ball_LongPatternRF;140;10000;300lb
DN20;Ball_LongPatternRF;152;10000;300lb
DN25;Ball_LongPatternRF;165;10000;300lb
DN32;Ball_LongPatternRF;178;10000;300lb
DN40;Ball_LongPatternRF;190;10000;300lb
DN50;Ball_LongPatternRF;216;10000;300lb
DN65;Ball_LongPatternRF;241;10000;300lb
DN80;Ball_LongPatternRF;282;10000;300lb
DN100;Ball_LongPatternRF;305;10000;300lb
DN150;Ball_LongPatternRF;403;10000;300lb
DN200;Ball_LongPatternRF;502;10000;300lb
DN250;Ball_LongPatternRF;568;10000;300lb
DN300;Ball_LongPatternRF;648;10000;300lb
DN350;Ball_LongPatternRF;762;10000;300lb
DN400;Ball_LongPatternRF;838;10000;300lb
DN450;Ball_LongPatternRF;914;10000;300lb
DN500;Ball_LongPatternRF;991;10000;300lb
DN550;Ball_LongPatternRF;1092;10000;300lb
DN600;Ball_LongPatternRF;1143;10000;300lb
