PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Gate_RF;292;0;600lb;455;250
DN65;Gate_RF;330;0;600lb;588;250
DN80;Gate_RF;356;0;600lb;550;250
DN100;Gate_RF;432;0;600lb;690;350
DN150;Gate_RF;559;0;600lb;910;450
DN200;Gate_RF;660;0;600lb;1065;500
DN250;Gate_RF;787;0;600lb;1257;640
DN300;Gate_RF;838;0;600lb;1468;680
