PSize;FlangeType;D;d;t;T1;dwn;twn;t1;ODp;R;f;n;df;drf;trf;kg
DN15;WN;120.65;15.80;22.35;60.45;38.10;30.48;7.62;21.34;3.05;22.35;4;82.55;35.05;6.40;1.88
DN20;WN;130.05;20.93;25.40;69.85;44.45;35.56;8.89;26.67;3.05;22.35;4;88.90;42.93;6.40;2.54
DN25;WN;149.35;26.64;28.45;73.15;52.32;35.76;8.94;33.53;3.05;25.40;4;101.60;50.80;6.40;3.72
DN32;WN;158.75;35.05;28.45;73.15;63.50;35.76;8.94;42.16;4.83;25.40;4;111.25;63.50;6.40;4.29
DN40;WN;177.80;40.89;31.75;82.55;69.85;40.64;10.16;48.56;6.35;28.45;4;123.95;73.15;6.40;5.94
DN50;WN;215.90;52.50;38.10;101.60;104.65;50.80;12.70;60.45;7.87;25.40;8;165.10;91.95;6.40;10.81
DN65;WN;244.35;62.71;41.15;104.65;123.95;50.80;12.70;73.15;7.87;28.45;8;190.50;104.65;6.40;14.92
DN80;WN;241.30;77.93;38.10;101.60;127.00;50.80;12.70;88.90;9.65;25.40;8;190.50;127.00;6.40;13.60
DN100;WN;292.10;102.26;44.45;114.30;158.75;55.88;13.97;114.30;11.18;31.75;8;234.95;157.23;6.40;22.37
DN125;WN;349.25;128.19;50.80;127.00;190.50;60.96;15.24;141.22;11.18;35.05;8;279.40;185.67;6.40;35.90
DN150;WN;381.00;154.05;55.63;139.70;234.95;67.26;16.81;168.40;12.70;31.75;12;317.50;215.90;6.40;46.98
DN200;WN;469.90;202.72;63.50;162.05;298.45;78.84;19.71;219.20;12.70;38.10;12;393.70;269.75;6.40;80.07
DN250;WN;546.10;254.51;69.85;184.15;368.30;91.44;22.86;273.05;12.70;38.10;16;469.90;323.85;6.40;117.90
DN300;WN;609.60;304.80;79.25;200.15;419.10;96.72;24.18;323.85;12.70;38.10;20;533.40;381.00;6.40;156.80
DN350;WN;641.35;336.55;85.85;212.85;450.85;101.60;25.40;355.60;12.70;41.15;20;558.80;412.75;6.40;179.94
DN400;WN;704.85;387.35;88.90;215.90;508.00;101.60;25.40;406.40;12.70;44.45;20;615.95;469.90;6.40;216.91
DN450;WN;787.40;438.15;101.60;228.60;565.15;101.60;25.40;457.20;12.70;50.80;20;685.80;533.40;6.40;293.63
DN500;WN;857.25;488.95;107.95;247.65;622.30;111.76;27.94;508.00;12.70;53.85;20;749.30;584.20;6.40;364.11
DN600;WN;1041.40;590.55;139.70;292.10;749.30;121.92;30.48;609.60;12.70;66.55;20;901.70;692.15;6.40;666.57

