PSize;OD;thk
DN6;10.29;1.45
DN8;13.72;1.85
DN10;17.14;1.85
DN15;21.34;2.41
DN20;26.67;2.41
DN25;33.4;2.9
DN32;42.16;2.97
DN40;48.26;3.18
DN50;60.32;3.18
DN65;73.02;4.78
DN80;88.9;4.78
DN90;101.6;4.78
DN100;114.3;4.78
DN200;219.07;7.04
DN250;273.05;7.8
DN300;323.85;8.38
DN350;355.6;9.52
DN400;406.4;9.52
DN450;457.2;11.13
DN500;508;12.7
DN550;558.8;12.7
DN600;609.6;14.27
