PSize;OD;thk
DN200;219.07;10.31
DN250;273.05;12.7
DN300;323.85;14.27
DN350;355.6;15.09
DN400;406.4;16.66
DN450;457.2;19.05
DN500;508;20.62
DN550;558.8;22.22
DN600;609.6;24.61
