PSize;OD;thk
DN6;10.29;4.83
DN8;13.72;6.05
DN10;17.14;6.4
DN15;21.34;7.47
DN20;26.67;7.82
DN25;33.4;9.09
DN32;42.16;9.7
DN40;48.26;10.16
DN50;60.32;11.07
DN65;73.02;14.02
DN80;88.9;15.24
DN100;114.3;17.12
DN125;141.3;19.05
DN150;168.27;21.95
DN200;219.07;22.22
DN250;273.05;25.4
DN300;323.85;25.4
