PSize;VType;H;Kv;Conn
DN15;Ball_LongPatternRF;108;10000;150lb
DN20;Ball_LongPatternRF;117;10000;150lb
DN25;Ball_LongPatternRF;127;10000;150lb
DN32;Ball_LongPatternRF;140;10000;150lb
DN40;Ball_LongPatternRF;165;10000;150lb
DN50;Ball_LongPatternRF;178;10000;150lb
DN65;Ball_LongPatternRF;190;10000;150lb
DN80;Ball_LongPatternRF;203;10000;150lb
DN100;Ball_LongPatternRF;229;10000;150lb
DN150;Ball_LongPatternRF;394;10000;150lb
DN200;Ball_LongPatternRF;457;10000;150lb
DN250;Ball_LongPatternRF;533;10000;150lb
DN300;Ball_LongPatternRF;610;10000;150lb
DN350;Ball_LongPatternRF;686;10000;150lb
DN400;Ball_LongPatternRF;762;10000;150lb
DN450;Ball_LongPatternRF;864;10000;150lb
DN500;Ball_LongPatternRF;914;10000;150lb
DN600;Ball_LongPatternRF;1067;10000;150lb
