PSize;VType;H;Kv;Conn;TopH;WheelD
DN50;Gate_RF;178;0;150lb;389;200
DN65;Gate_RF;191;0;150lb;439;200
DN80;Gate_RF;203;0;150lb;500;250
DN100;Gate_RF;229;0;150lb;595;250
DN150;Gate_RF;267;0;150lb;777;350
DN200;Gate_RF;292;0;150lb;975;400
DN250;Gate_RF;330;0;150lb;1160;450
DN300;Gate_RF;356;0;150lb;1390;560
