PSize;FlangeType;D;d;t;T1;dwn;twn;t1;ODp;R;f;n;df;drf;trf;kg
DN15;WN;133.35;15.75;30.23;73.15;42.93;34.29;8.64;21.34;3.05;22.35;4;88.90;35.05;6.40;3.13
DN20;WN;139.70;20.83;31.75;79.25;50.80;38.10;9.40;26.67;3.05;22.35;4;95.25;42.93;6.40;3.69
DN25;WN;158.75;26.67;35.05;88.90;57.15;43.18;10.67;33.53;3.05;25.40;4;107.95;50.80;6.40;5.23
DN32;WN;184.15;35.05;38.10;95.25;73.15;45.72;11.43;42.16;4.83;28.45;4;130.05;63.50;6.40;7.73
DN40;WN;203.20;40.89;44.45;111.25;79.25;53.34;13.46;48.26;6.35;31.75;4;146.05;73.15;6.40;10.83
DN50;WN;234.95;52.58;50.80;127.00;95.25;60.96;15.24;60.45;7.87;28.45;8;171.45;91.95;6.40;16.09
DN65;WN;266.70;62.74;57.15;142.75;114.30;68.58;17.02;73.15;7.87;31.75;8;196.85;104.65;6.40;23.52
DN80;WN;304.80;77.98;66.55;166.15;133.35;81.28;20.32;88.90;9.65;35.05;8;228.60;127.00;6.40;35.67
DN100;WN;355.60;102.36;76.20;190.50;165.10;91.44;22.86;114.30;11.18;41.15;8;273.05;157.23;6.40;54.67
DN125;WN;419.10;128.27;91.95;228.60;203.20;109.22;27.43;141.22;11.18;47.75;8;323.85;185.67;6.40;90.95
DN150;WN;482.60;154.18;107.95;273.05;234.95;132.08;33.02;168.40;12.70;53.85;8;368.30;215.90;6.40;140.57
DN200;WN;552.45;202.69;127.00;317.50;304.80;152.40;38.10;219.20;12.70;53.85;12;438.15;269.75;6.40;210.51
DN250;WN;673.10;254.51;165.10;419.10;374.65;203.20;50.80;273.05;12.70;66.55;12;539.75;323.85;6.40;399.63
DN300;WN;762.00;304.80;184.15;463.55;441.45;223.52;55.88;323.85;12.70;73.15;12;619.25;381.00;6.40;566.01

