PSize;FlangeType;D;t;f;n;df;drf;trf;FClass
DN15;BL;120.65;22.35;22.35;4;82.55;35.05;6.4;1500lb
DN20;BL;130.05;25.4;22.35;4;88.9;42.93;6.4;1500lb
DN25;BL;149.35;28.45;25.4;4;101.6;50.8;6.4;1500lb
DN32;BL;158.75;28.45;25.4;4;111.25;63.5;6.4;1500lb
DN40;BL;177.8;31.75;28.45;4;123.95;73.15;6.4;1500lb
DN50;BL;215.9;38.1;25.4;8;165.1;91.95;6.4;1500lb
DN65;BL;244.35;41.15;28.45;8;190.5;104.65;6.4;1500lb
DN80;BL;266.7;47.75;31.75;8;203.2;127;6.4;1500lb
DN100;BL;311.15;53.85;35.05;8;241.3;157.23;6.4;1500lb
DN125;BL;374.65;73.15;41.15;8;292.1;185.67;6.4;1500lb
DN150;BL;393.7;82.55;38.1;12;317.5;215.9;6.4;1500lb
DN200;BL;482.6;91.95;44.45;12;393.7;269.75;6.4;1500lb
DN250;BL;584.2;107.95;50.8;12;482.6;323.85;6.4;1500lb
DN300;BL;673.1;123.95;53.85;16;571.5;381;6.4;1500lb
DN350;BL;749.3;133.35;60.45;16;635;412.75;6.4;1500lb
DN400;BL;825.5;146.05;66.55;16;704.85;469.9;6.4;1500lb
DN450;BL;914.4;162.05;73.15;16;774.7;533.4;6.4;1500lb
DN500;BL;984.25;177.8;79.25;16;831.85;584.2;6.4;1500lb
