PSize;dBolt;dNut;tNut;df;n;lBolt
DN15;19.05;36.6522;19.2532;88.9;4;110.5664
DN20;19.05;36.6522;19.2532;95.25;4;113.6064
DN25;22.225;42.164;22.479;107.95;4;126.658
DN32;25.4;47.6504;25.7048;130.05;4;139.2096
DN40;28.575;53.1622;28.9306;146.05;4;158.3612
DN50;25.4;47.6504;25.7048;171.45;8;164.6096
DN65;28.575;53.1622;28.9306;196.85;8;183.7612
DN80;31.75;58.6486;31.7754;228.6;8;208.2508
DN100;38.1;69.6468;38.227;273.05;8;240.454
DN125;44.45;80.645;44.6786;323.85;8;284.8572
DN150;50.8;91.6432;51.1302;368.3;8;329.7604
DN200;50.8;91.6432;51.1302;438.15;12;367.8604
DN250;63.5;113.6396;63.627;539.75;12;469.054
DN300;69.85;124.6378;70.0786;619.25;12;520.0572
