PSize;OD;thk;BendAngle;BendRadius
PVC-16;16.13;2.16;90;114
PVC-20;21.34;2.62;90;127
PVC-25;26.67;2.89;90;152
PVC-40;41.28;3.79;90;178
PVC-45;52.40;4.75;90;203
