PSize;dBolt;dNut;tNut;df;n;lBolt
DN15;12.7;25.654;12.8016;66.55;4;60.8432
DN20;15.875;31.1658;16.0274;82.55;4;70.3548
DN25;15.875;31.1658;16.0274;88.9;4;73.9148
DN32;15.875;31.1658;16.0274;98.55;4;76.9548
DN40;19.05;36.6522;19.2532;114.3;4;86.4464
DN50;15.875;31.1658;16.0274;127;8;83.5548
DN65;19.05;36.6522;19.2532;149.35;8;96.1064
DN80;19.05;36.6522;19.2532;168.15;8;102.2064
DN90;19.05;36.6522;19.2532;184.15;8;105.7664
DN100;19.05;36.6522;19.2532;200.15;8;108.8064
DN125;19.05;36.6522;19.2532;234.95;8;115.4064
DN150;19.05;36.6522;19.2532;269.75;12;118.4664
DN200;22.225;42.164;22.479;330.2;12;134.058
DN250;25.4;47.6504;25.7048;387.35;16;153.7096
DN300;28.575;53.1622;28.9306;450.85;16;166.2612
DN350;28.575;53.1622;28.9306;514.35;20;172.3612
DN400;31.75;58.6486;31.7754;571.5;20;184.6508
DN450;31.75;58.6486;31.7754;628.65;24;191.2508
DN500;31.75;58.6486;31.7754;685.8;24;197.3508
DN600;31.75;58.6486;31.7754;812.8;24;207.0028
