PSize;FlangeType;D;d;t;T1;dwn;twn;t1;ODp;R;f;n;df;drf;trf;kg
DN15;WN;95.25;15.75;14.22;52.32;38.10;30.48;7.62;21.34;3.05;15.75;4;66.55;35.05;1.60;0.76
DN20;WN;117.35;20.83;15.75;57.15;47.75;33.12;8.28;26.67;3.05;19.05;4;82.55;42.93;1.60;1.27
DN25;WN;123.95;26.67;17.53;61.98;53.85;35.56;8.89;33.53;3.05;19.05;4;88.90;50.80;1.60;1.61
DN32;WN;133.35;35.05;19.05;65.02;63.50;36.78;9.19;42.16;4.83;19.05;4;98.55;63.50;1.60;2.05
DN40;WN;155.45;40.89;20.57;68.33;69.85;38.20;9.55;48.26;6.35;22.35;4;114.30;73.15;1.60;2.92
DN50;WN;165.10;52.58;22.35;69.85;84.07;38.00;9.50;60.45;7.87;19.05;8;127.00;91.95;1.60;3.46
DN65;WN;190.50;62.74;25.40;76.20;100.08;40.64;10.16;73.15;7.87;22.35;8;149.35;104.65;1.60;5.24
DN80;WN;209.55;77.98;28.45;79.25;117.35;40.64;10.16;88.90;9.65;22.35;8;168.15;127.00;1.60;6.98
DN90;WN;228.60;90.17;30.23;81.03;133.35;40.64;10.16;101.60;9.65;22.35;8;184.15;139.70;1.60;8.79
DN100;WN;254.00;102.36;31.75;85.85;146.05;43.28;10.82;114.30;11.18;22.35;8;200.15;157.53;1.60;11.38
DN125;WN;279.40;128.27;35.05;98.55;177.80;50.80;12.70;141.22;11.18;22.35;8;234.95;185.67;1.60;15.20
DN150;WN;317.50;154.18;36.58;98.55;206.25;49.58;12.40;168.40;12.70;22.35;12;269.75;215.90;1.60;19.42
DN200;WN;381.00;202.69;41.15;111.25;260.35;56.08;14.02;219.20;12.70;25.40;12;330.20;269.75;1.60;30.16
DN250;WN;444.50;254.51;47.75;117.35;320.55;55.68;13.92;273.05;12.70;28.45;16;387.35;323.85;1.60;43.45
DN300;WN;520.70;304.80;50.80;130.05;374.65;63.40;15.85;323.85;12.70;31.75;16;450.85;381.00;1.60;62.36
DN350;WN;584.20;336.55;53.85;142.75;425.45;71.12;17.78;355.60;12.70;31.75;20;514.35;412.75;1.60;86.43
DN400;WN;647.70;387.35;57.15;146.05;482.60;71.12;17.78;406.40;12.70;35.05;20;571.50;469.90;1.60;107.38
DN450;WN;711.20;438.15;60.45;158.75;533.40;78.64;19.66;457.20;12.70;35.05;24;628.65;533.40;1.60;132.34
DN500;WN;774.70;488.95;63.50;162.05;587.25;78.64;19.71;508.00;12.70;35.05;24;685.80;584.20;1.60;159.80
DN600;WN;939.8;590.56;68.326;104.902;692.15;81.28;;609.6;;50.8;24;812.8;692.15;6.4;
