PSize;OD;thk
DN6;10.29;3.15
DN8;13.72;3.68
DN10;17.14;4.01
DN15;21.34;4.78
DN20;26.67;5.56
DN25;33.4;6.35
DN32;42.16;6.35
DN40;48.26;7.14
DN50;60.32;8.74
DN65;73.02;9.52
DN80;88.9;11.13
DN100;114.3;13.49
DN125;141.3;15.88
DN150;168.27;18.26
DN200;219.07;23.01
DN250;273.05;28.58
DN300;323.85;33.32
DN350;355.6;35.71
DN400;406.4;40.49
DN450;457.2;45.24
DN500;508;50.01
DN550;558.8;53.98
DN600;609.6;59.54
