PSize;FlangeType;D;d;t;T1;dwn;twn;t1;ODp;R;f;n;df;drf;trf;kg
DN15;WN;120.65;15.80;22.35;60.45;38.10;30.48;7.62;21.34;3.05;22.35;4;82.55;35.05;6.40;1.88
DN20;WN;130.05;20.93;25.40;69.85;44.45;35.56;8.89;26.67;3.05;22.35;4;88.90;42.93;6.40;2.54
DN25;WN;149.35;26.64;28.45;73.15;52.32;35.76;8.94;33.53;3.05;25.40;4;101.60;50.80;6.40;3.72
DN32;WN;158.75;35.05;28.45;73.15;63.50;35.76;8.94;42.16;4.83;25.40;4;111.25;63.50;6.40;4.29
DN40;WN;177.80;40.89;31.75;82.55;69.85;40.64;10.16;48.26;6.35;28.45;4;123.95;73.15;6.40;5.94
DN50;WN;215.90;52.50;38.10;101.60;104.65;50.80;12.70;60.45;7.87;25.40;8;165.10;91.95;6.40;10.81
DN65;WN;244.35;62.71;41.15;104.65;123.95;50.80;12.70;73.15;7.87;28.45;8;190.50;104.65;6.40;14.92
DN80;WN;266.70;77.93;47.75;117.35;133.35;55.88;13.92;88.90;9.65;31.75;8;203.20;127.00;6.40;19.78
DN100;WN;311.15;102.26;53.85;123.95;162.05;56.08;14.02;114.30;11.18;35.05;8;241.30;157.23;6.40;29.65
DN125;WN;374.65;128.19;73.15;155.45;196.85;65.84;16.46;141.22;11.18;41.15;8;292.10;185.67;6.40;56.52
DN150;WN;393.70;154.05;82.55;171.45;228.60;71.12;17.78;168.40;12.70;38.10;12;317.50;215.90;6.40;67.28
DN200;WN;482.60;202.72;91.95;212.85;292.10;96.72;24.18;219.20;12.70;44.45;12;393.70;269.75;6.40;113.91
DN250;WN;584.20;254.51;107.95;254.00;368.30;116.84;29.21;273.05;12.70;50.80;12;482.60;323.85;6.40;197.25
DN300;WN;673.10;304.80;123.95;282.45;450.85;126.80;31.70;323.85;12.70;53.85;16;571.50;381.00;6.40;293.52
DN350;WN;749.30;336.55;133.35;298.45;495.30;132.08;33.02;355.60;12.70;60.45;16;635.00;412.75;6.40;386.25
DN400;WN;825.50;387.35;146.05;311.15;552.45;132.08;33.02;406.40;12.70;66.55;16;704.85;469.90;6.40;492.86
DN450;WN;914.40;438.15;162.05;327.15;596.90;132.08;33.02;457.20;12.70;73.15;16;774.70;533.40;6.40;643.84
DN500;WN;984.25;488.95;177.80;355.60;641.35;142.24;35.56;508.00;12.70;79.25;16;831.85;584.20;6.40;788.5
