PSize;dBolt;dNut;tNut;df;n;lBolt
DN15;12.7;25.654;12.8016;66.55;4;65.6432
DN20;15.875;31.1658;16.0274;82.55;4;75.1548
DN25;15.875;31.1658;16.0274;88.9;4;78.7148
DN32;15.875;31.1658;16.0274;98.55;4;84.7948
DN40;19.05;36.6522;19.2532;114.3;4;94.8064
DN50;15.875;31.1658;16.0274;127;8;94.4548
DN65;19.05;36.6522;19.2532;149.35;8;107.0064
DN80;19.05;36.6522;19.2532;168.15;8;113.6064
DN90;22.225;42.164;22.479;184.15;8;126.658
DN100;22.225;42.164;22.479;215.9;8;132.758
DN125;25.4;47.6504;25.7048;266.7;8;151.9096
DN150;25.4;47.6504;25.7048;292.1;12;158.5096
DN200;28.575;53.1622;28.9306;349.25;12;180.7212
DN250;31.75;58.6486;31.7754;431.8;16;202.1508
DN300;31.75;58.6486;31.7754;488.95;20;208.2508
DN350;34.925;64.1604;35.0012;527.05;20;221.3024
DN400;38.1;69.6468;38.227;603.25;20;240.454
DN450;41.275;75.1586;41.4528;654.05;20;259.6056
DN500;41.275;75.1586;41.4528;723.9;24;272.3056
DN600;47.625;84.1375;46.83125;838.2;24;308.4625
