PSize;OD;thk
DN6;10.29;2.41
DN8;13.72;3.02
DN10;17.14;3.2
DN15;21.34;3.73
DN20;26.67;3.91
DN25;33.4;4.55
DN32;42.16;4.85
DN40;48.26;5.08
DN50;60.32;5.54
DN65;73.02;7.01
DN80;88.9;7.62
DN90;101.6;8.08
DN100;114.3;8.56
DN125;141.3;9.52
DN150;168.27;10.97
DN200;219.07;12.7
DN250;273.05;15.09
DN300;323.85;17.48
DN350;355.6;19.05
DN400;406.4;21.44
DN450;457.2;23.83
DN500;508;26.19
DN550;558.8;28.58
DN600;609.6;30.96
