PSize;OD;thk
DN200;219.07;20.62
DN250;273.05;25.4
DN300;323.85;28.58
DN350;355.6;31.75
DN400;406.4;36.53
DN450;457.2;39.67
DN500;508;44.45
DN550;558.8;47.62
DN600;609.6;52.37
