PSize;FlangeType;D;d;t;T1;ODp;f;n;df;drf;trf;kg
DN15;SO;88.90;22.35;11.18;15.75;30.23;15.75;4;60.45;35.05;1.60;0.40
DN20;SO;98.55;27.69;12.70;15.75;38.10;15.75;4;69.85;42.93;1.60;0.57
DN25;SO;107.95;34.54;14.22;17.53;49.28;15.75;4;79.25;50.80;1.60;0.78
DN32;SO;117.35;43.18;15.75;20.57;58.67;15.75;4;88.90;63.50;1.60;1.02
DN40;SO;127.00;49.53;17.53;22.35;65.02;15.75;4;98.55;73.15;1.60;1.33
DN50;SO;152.40;61.98;19.05;25.40;77.72;19.05;4;120.65;91.95;1.60;2.07
DN65;SO;177.80;74.68;22.35;28.45;90.42;19.05;4;139.70;104.65;1.60;3.31
DN80;SO;190.50;90.68;23.88;30.23;107.95;19.05;4;152.40;127.00;1.60;3.88
DN90;SO;215.90;103.38;23.88;31.75;122.17;19.05;8;177.80;139.70;1.60;4.84
DN100;SO;228.60;116.06;23.88;33.27;134.87;19.05;8;190.50;157.23;1.60;5.32
DN125;SO;254.00;143.76;23.88;36.58;163.58;22.35;8;215.90;185.67;1.60;6.10
DN150;SO;279.40;170.69;25.40;39.62;192.02;22.35;8;241.30;215.90;1.60;7.46
DN200;SO;342.90;221.49;28.45;44.45;246.13;22.35;8;298.45;269.75;1.60;12.07
DN250;SO;406.40;276.35;30.23;49.28;304.80;25.40;12;361.95;323.85;1.60;16.56
DN300;SO;482.60;327.15;31.75;55.63;365.25;25.40;12;431.80;381.00;1.60;26.26
DN350;SO;533.40;359.16;35.05;57.15;400.05;28.45;12;476.25;412.75;1.60;34.76
DN400;SO;596.90;410.46;36.58;63.50;457.20;28.45;16;539.75;469.90;1.60;45.02
DN450;SO;635.00;461.77;39.62;68.33;504.95;31.75;16;577.85;533.40;1.60;48.90
DN500;SO;698.50;513.08;42.93;73.15;558.80;31.75;20;635.00;584.20;1.60;62.07
