PSize;OD;thk
DN15;21.34;1.65
DN20;26.67;1.65
DN25;33.4;1.65
DN32;42.16;1.65
DN40;48.26;1.65
DN50;60.32;1.65
DN65;73.02;2.11
DN80;88.9;2.11
DN90;101.6;2.11
DN100;114.3;2.11
DN125;141.3;2.77
DN150;168.27;2.77
DN200;219.07;2.77
DN250;273.05;3.4
DN300;323.85;3.96
DN350;355.6;3.96
DN400;406.4;4.19
DN450;457.2;4.19
DN500;508;4.78
DN600;609.6;5.54
